[2026-03-31 07:18:32] ip=::1 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:22:35] ip=::1 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:23:27] ip=::1 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:23:32] ip=::1 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:24:38] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:36:02] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:45:30] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:45:34] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:55:11] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:55:14] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=suporte.php uri=/tokencafe/suporte.php
[2026-03-31 07:55:19] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 07:55:24] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 08:01:55] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/index.php
[2026-03-31 08:02:54] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=tools.php uri=/tokencafe/tools.php
[2026-03-31 08:02:54] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 08:05:24] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=tools uri=/tokencafe/index.php?page=tools
[2026-03-31 08:05:25] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 08:05:46] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs
[2026-03-31 08:05:47] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 08:06:09] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs&date=2026-03-30&days=7
[2026-03-31 08:06:09] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 08:06:31] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs&date=2026-03-30&days=30
[2026-03-31 08:06:31] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 08:06:50] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs&date=2026-03-31&days=30
[2026-03-31 08:06:51] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
[2026-03-31 10:57:37] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=logs uri=/tokencafe/index.php?page=logs&date=2026-03-30&days=30
[2026-03-31 10:57:38] ip=::1 wallet=0x40daa13061889429cabf314bc51c4abbdeb88de6 page=index.php uri=/tokencafe/tools-header.php
